src,dst
1,14960
2,1257
2,1637
2,3486
2,3493
2,5163
2,5184
2,5741
2,8534
2,8557
2,8972
2,9139
2,9777
2,11938
2,13349
2,13579
2,14884
2,15126
3,7611
3,11375
3,13862
3,14960
4,7207
5,167
5,1510
5,2394
5,3647
5,5411
5,5570
5,5592
5,6398
5,8325
5,10634
5,12310
5,15241
5,15409
5,15422
6,2871
6,3265
6,3590
6,5147
6,7899
6,9139
6,10667
7,307
7,1559
7,2026
7,2578
7,4083
7,9142
7,9549
7,13866
7,15424
8,82
8,98
8,404
8,1044
8,1274
8,1431
8,1583
8,1869
8,1998
8,2635
8,3821
8,3870
8,3893
8,4586
8,4708
8,4797
8,5047
8,5365
8,5553
8,5728
8,5924
8,6309
8,8213
8,8906
8,9446
8,9908
8,9983
8,10429
8,10569
8,10686
8,11458
8,11514
8,12106
8,12637
8,12942
8,13064
8,13243
8,13500
8,13999
8,14148
8,15367
9,540
9,948
9,1838
9,2703
9,3858
9,5411
9,5859
9,10849
9,11004
9,11290
9,11460
9,11737
9,11806
9,12227
9,12671
9,13074
9,13084
9,13334
9,13784
9,14352
9,14453
9,14872
10,10921
10,14872
11,277
11,689
11,1274
11,1484
11,2635
11,2762
11,3626
11,4553
11,5365
11,5592
11,5752
11,5768
11,5783
11,6518
11,7131
11,8042
11,9031
11,9543
11,10928
11,11119
11,11487
11,11946
11,12129
11,12452
11,13690
11,14056
11,14363
11,15379
12,224
12,1274
12,1633
12,1730
12,2177
12,2407
12,2855
12,3186
12,3286
12,3588
12,6530
12,6865
12,6981
12,8127
12,8699
12,9139
12,9446
12,9726
12,9813
12,10194
12,10365
12,10678
12,11038
12,11152
12,11295
12,12093
12,12394
12,12401
12,14217
12,14597
12,15258
13,1076
13,3120
13,3125
13,3831
13,4200
13,4310
13,8868
13,12518
13,12927
13,14078
14,163
14,659
14,1299
14,1684
14,2823
14,8179
14,9472
14,11107
14,12165
14,12368
15,13690
15,15433
16,5747
16,8965
16,10152
16,15277
17,167
17,319
17,615
17,866
17,1044
17,1669
17,1730
17,2209
17,2716
17,3095
17,3339
17,3521
17,3647
17,3778
17,3801
17,5303
17,5408
17,5637
17,6311
17,7239
17,7899
17,9139
17,9151
17,9446
17,9600
17,9643
17,9742
17,9902
17,10093
17,10096
17,10313
17,10327
17,10507
17,10634
17,10712
17,10714
17,10849
17,10964
17,10984
17,11296
17,11385
17,11432
17,11470
17,11514
17,11592
17,11760
17,12249
17,12783
17,12818
17,12973
17,13033
17,13119
17,13300
17,13520
17,14043
17,14334
17,14505
17,14552
17,14620
17,14648
17,14758
17,14796
17,14978
17,14996
17,14999
17,15071
17,15303
17,15356
18,764
19,167
19,1930
19,1964
19,2772
19,2868
19,3286
19,4111
19,5024
19,5365
19,6058
19,7411
19,7658
19,10527
19,10634
19,11432
19,11487
19,12637
19,13058
19,13500
19,14130
19,14395
19,15155
20,1730
20,6397
20,6449
20,7762
20,10298
20,12845
21,5041
21,5244
21,6343
21,8999
21,10327
22,9656
23,5041
23,6049
23,6122
23,6346
23,12300
23,13159
23,13727
23,15285
24,11267
24,13061
25,167
25,881
25,888
25,1894
25,2875
25,3286
25,4989
25,5943
25,6523
25,8251
25,10105
25,10135
25,10482
25,10714
25,10884
25,11707
25,13432
26,3111
26,8008
27,125
27,527
27,999
27,1686
27,1730
27,2525
27,2772
27,3451
27,4142
27,4248
27,4945
27,4989
27,5391
27,6894
27,7338
27,7658
27,8457
27,8575
27,8692
27,9131
27,9816
27,9870
27,10034
27,10849
27,10934
27,11468
27,11592
27,12907
27,12939
27,13059
27,13113
27,13173
27,14552
28,1072
28,1139
28,4615
28,4797
28,4840
28,6390
28,6932
28,9219
28,9870
28,11592
28,12881
28,12939
28,13310
28,13598
28,13960
28,14694
29,404
29,1334
29,2997
29,4739
29,5283
29,5912
29,6309
29,6451
29,6868
29,8042
29,8446
29,10928
